id_persona|empresa|cargo|area|trabajo_hora_sem|fecha_desde|fecha_hasta
14742|Hospital Municipal Ramon Santamarina Tandil|Administrativa Planta Permanente 40 Hs Semanales|Dpto. Recursos Humanos|35 o más horas|2003-05-02|2007-03-15
14742|Ministerio de Trabajo, Empleo y Seguridad Social|Analista Técnico - Nivel C - 40 Hs Semanales|Ejecuciones Fiscales / Pnrt|35 o más horas|2007-05-15|2011-07-31
14742|Universidad Nacional del Centro de la Provincia de Buenos Aires|Secretaria Tecnica|Secretaria De Administracion|Más de 20 y hasta 35 horas|2022-08-01|
17058|Freelance|Graphic & Brand Designer|Diseño|35 o más horas|2017-12-01|2021-06-01
17058|Patagonia Digital|Ux/Ui Designer - Lead Ux/Ui Designer|Diseño|35 o más horas|2021-06-01|2021-10-01
17058|Tinet / Transbank|Ui Designer - Focal Ui Designer - Ux Designer|Diseño|35 o más horas|2022-01-01|2023-07-01
17058|Wizata|Ux/Ui Designer|Diseño|35 o más horas|2024-01-01|
20997|BARI S.A.C.I.I.T|Auxiliar Basico|Administracion|35 o más horas|2018-04-23|2022-12-01
24502|Consultor Independiente|Asesor Financiero|Finanzas|35 o más horas|2018-12-01|
24502|Rural Ceres S.A.|Responsable De Compras|Compras|35 o más horas|2005-04-01|2018-11-30
41243|CONICET|Becario Doctoral|Investigación|35 o más horas|2020-04-01|
41683|Colektia|Developer Jr.|Full-Stack|35 o más horas|2022-10-11|
48036|Telecom SA|Analista De Sistemas Sr|It|35 o más horas|2000-09-04|2023-09-20
50306|Ees n°30, Pablo Nogues|Profesor|Matematicas|Hasta 10 horas|2021-04-05|
51238|Loyal Guru (España)|Gerente De Ingeniería|Marketing|35 o más horas|2019-09-01|2023-03-05
51311|Transportadora de Caudales Juntadella SA|Analista Logística De Valores|Transporte|35 o más horas|2017-03-01|
51460|Biside|Analista Tecnico|Infraestructura Y Soporte|35 o más horas|2020-01-06|
51638|Estrategias Diferencias SA|Rpa Developer|Software Factory|35 o más horas|2019-11-19|
52284|Globant|Desarrollador|Servicios|35 o más horas|2019-03-04|2022-05-13
52284|Telecom|Desarrollador|Servicios|35 o más horas|2022-05-17|
52547|Sector 7|Técnico Soporte Y Atención Al Publico|Tecnico|Más de 20 y hasta 35 horas|2018-04-02|2024-07-31
52756|Cooperativa Geneos limitada|Desarrollador|Desarrollo|35 o más horas|2019-03-01|
52936|TRABAJO INDEPENDIENTE|Profesional Independiente|Ciencias Economicas|Más de 20 y hasta 35 horas|1985-03-11|
53222|Estrategias Diferenciadas S.A.|Desarrollador De Software|Sistemas|35 o más horas|2020-01-06|
53234|Globant|Android Technical Lead|Mobile|35 o más horas|2022-10-10|
53234|Globant|Flutter Developer|Mobile|35 o más horas|2021-10-18|2022-10-10
53285|Qwavee|Fullstack Engineer|Tecnología|35 o más horas|2020-07-01|2022-05-31
53285|Ualá|Fullstack Engineer|Tecnología|35 o más horas|2022-06-01|
53291|CEC N802|Docente Plan Fines|Matemática|Hasta 10 horas|2019-03-01|2019-07-16
53291|Colegio Ayres del Cerro, Tandil|Docente|Matemática|Más de 10 y hasta 20 horas|2022-04-01|2022-05-20
